crop,year,state,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,n,p,k,ph,ndvi,evi,gdd,rainfall_var
45,1997,17,85462.66,278.38,0.921428571,17.16,1954.46,77.31,52,16,33,5.6,0.8437512466846866,0.382719992838789,7.16,827.9846247220643
46,1997,17,7803.94,25.42,2.352,17.16,1954.46,77.31,52,16,33,5.6,0.8127142017882676,0.35460002440862814,7.16,827.9846247220643
48,1997,17,496026.04,1615.72,3.221428571,17.16,1954.46,77.31,52,16,33,5.6,0.2782120700838264,0.7887376389586189,7.16,827.9846247220643
49,1997,17,376778.03,1227.29,6.537142857,17.16,1954.46,77.31,52,16,33,5.6,0.5732030120404648,0.7896111378810697,7.16,827.9846247220643
50,1997,17,70616.14,230.02,0.618,17.16,1954.46,77.31,52,16,33,5.6,0.7935546119269294,0.5591757781864335,7.16,827.9846247220643
51,1997,17,133333.17,434.31,5.425714286,17.16,1954.46,77.31,52,16,33,5.6,0.6144134414726733,0.4866208168455337,7.16,827.9846247220643
53,1997,17,407993.79,1328.97,1.385,17.16,1954.46,77.31,52,16,33,5.6,0.5223886349946617,0.6674272720198524,7.16,827.9846247220643
0,1997,29,766879.86,2497.98,1.691764706,25.85,1564.19,72.28,85,40,45,6.2,0.40146950817627713,0.18200639179889916,15.850000000000001,194.91272867593258
1,1997,29,345467.1,1125.3,0.777692308,25.85,1564.19,72.28,85,40,45,6.2,0.5193627140070897,0.782556702042571,15.850000000000001,194.91272867593258
2,1997,29,19700.19,64.17,0.426666667,25.85,1564.19,72.28,85,40,45,6.2,0.8547713214184183,0.37801196510765056,15.850000000000001,194.91272867593258
4,1997,29,582059.72,1895.96,1.68,25.85,1564.19,72.28,85,40,45,6.2,0.7135065820424176,0.2477424445398942,15.850000000000001,194.91272867593258
6,1997,29,254484.58,828.94,0.0,25.85,1564.19,72.28,85,40,45,6.2,0.27845685995298886,0.18450829241365901,15.850000000000001,194.91272867593258
8,1997,29,62812.2,204.6,0.07,25.85,1564.19,72.28,85,40,45,6.2,0.5797412420103938,0.43967892321882285,15.850000000000001,194.91272867593258
9,1997,29,2310061.41,7524.63,13003.78778,25.85,1564.19,72.28,85,40,45,6.2,0.6694471480417434,0.19142960500559847,15.850000000000001,194.91272867593258
11,1997,29,2474420.0,8060.0,2.0,25.85,1564.19,72.28,85,40,45,6.2,0.8932809700993154,0.2959739505530173,15.850000000000001,194.91272867593258
13,1997,29,6094115.78,19850.54,0.942777778,25.85,1564.19,72.28,85,40,45,6.2,0.5964727183288189,0.2885681519681922,15.850000000000001,194.91272867593258
